timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsSunset,timingsMaghrib,timingsIsha,timingsImsak,timingsMidnight,datereadable,datetimestamp,dategregoriandate,dategregorianformat,dategregorianday,dategregorianweekdayen,dategregorianmonthnumber,dategregorianmonthen,dategregorianyear,dategregoriandesignationabbreviated,dategregoriandesignationexpanded,datehijridate,datehijriformat,datehijriday,datehijriweekdayen,datehijriweekdayar,datehijrimonthnumber,datehijrimonthen,datehijrimonthar,datehijriyear,datehijridesignationabbreviated,datehijridesignationexpanded,metalatitude,metalongitude,metatimezone,metamethodname,metamethodparamsFajr,metamethodparamsIsha,metamethodparamsMaghrib,metalatitudeAdjustmentMethod,metamidnightMode,metaschool,metaoffsetImsak,metaoffsetFajr,metaoffsetSunrise,metaoffsetDhuhr,metaoffsetAsr,metaoffsetMaghrib,metaoffsetSunset,metaoffsetIsha,metaoffsetMidnight,datehijriholidays
03:52 (BST),05:28 (BST),13:16 (BST),18:29 (BST),20:54 (BST),20:55 (BST),22:10 (BST),03:42 (BST),01:11 (BST),01-Aug-21,1627804861,01/08/2021,DD-MM-YYYY,1,Sunday,8,August,2021,AD,Anno Domini,22-12-1442,DD-MM-YYYY,22,Al Ahad,الاحد,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:54 (BST),05:30 (BST),13:16 (BST),18:28 (BST),20:52 (BST),20:53 (BST),22:08 (BST),03:44 (BST),01:11 (BST),02-Aug-21,1627891261,02/08/2021,DD-MM-YYYY,2,Monday,8,August,2021,AD,Anno Domini,23-12-1442,DD-MM-YYYY,23,Al Athnayn,الاثنين,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:57 (BST),05:31 (BST),13:16 (BST),18:27 (BST),20:50 (BST),20:52 (BST),22:05 (BST),03:47 (BST),01:11 (BST),03-Aug-21,1627977661,03/08/2021,DD-MM-YYYY,3,Tuesday,8,August,2021,AD,Anno Domini,24-12-1442,DD-MM-YYYY,24,Al Thalaata,الثلاثاء,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:59 (BST),05:33 (BST),13:16 (BST),18:25 (BST),20:49 (BST),20:50 (BST),22:03 (BST),03:49 (BST),01:11 (BST),04-Aug-21,1628064061,04/08/2021,DD-MM-YYYY,4,Wednesday,8,August,2021,AD,Anno Domini,25-12-1442,DD-MM-YYYY,25,Al Arba'a,الاربعاء,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:01 (BST),05:34 (BST),13:16 (BST),18:24 (BST),20:47 (BST),20:48 (BST),22:01 (BST),03:51 (BST),01:11 (BST),05-Aug-21,1628150461,05/08/2021,DD-MM-YYYY,5,Thursday,8,August,2021,AD,Anno Domini,26-12-1442,DD-MM-YYYY,26,Al Khamees,الخميس,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:04 (BST),05:36 (BST),13:16 (BST),18:23 (BST),20:45 (BST),20:46 (BST),21:58 (BST),03:54 (BST),01:10 (BST),06-Aug-21,1628236861,06/08/2021,DD-MM-YYYY,6,Friday,8,August,2021,AD,Anno Domini,27-12-1442,DD-MM-YYYY,27,Al Juma'a,الجمعة,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:06 (BST),05:37 (BST),13:16 (BST),18:22 (BST),20:43 (BST),20:45 (BST),21:56 (BST),03:56 (BST),01:10 (BST),07-Aug-21,1628323261,07/08/2021,DD-MM-YYYY,7,Saturday,8,August,2021,AD,Anno Domini,28-12-1442,DD-MM-YYYY,28,Al Sabt,السبت,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:08 (BST),05:39 (BST),13:16 (BST),18:21 (BST),20:41 (BST),20:43 (BST),21:54 (BST),03:58 (BST),01:10 (BST),08-Aug-21,1628409661,08/08/2021,DD-MM-YYYY,8,Sunday,8,August,2021,AD,Anno Domini,29-12-1442,DD-MM-YYYY,29,Al Ahad,الاحد,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:10 (BST),05:41 (BST),13:16 (BST),18:20 (BST),20:40 (BST),20:41 (BST),21:51 (BST),04:00 (BST),01:10 (BST),09-Aug-21,1628496061,09/08/2021,DD-MM-YYYY,9,Monday,8,August,2021,AD,Anno Domini,30-12-1442,DD-MM-YYYY,30,Al Athnayn,الاثنين,12,Dhū al-Ḥijjah,ذوالحجة,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:13 (BST),05:42 (BST),13:15 (BST),18:18 (BST),20:38 (BST),20:39 (BST),21:49 (BST),04:03 (BST),01:10 (BST),10-Aug-21,1628582461,10/08/2021,DD-MM-YYYY,10,Tuesday,8,August,2021,AD,Anno Domini,01-01-1443,DD-MM-YYYY,1,Al Thalaata,الثلاثاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:15 (BST),05:44 (BST),13:15 (BST),18:17 (BST),20:36 (BST),20:37 (BST),21:47 (BST),04:05 (BST),01:10 (BST),11-Aug-21,1628668861,11/08/2021,DD-MM-YYYY,11,Wednesday,8,August,2021,AD,Anno Domini,02-01-1443,DD-MM-YYYY,2,Al Arba'a,الاربعاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:17 (BST),05:45 (BST),13:15 (BST),18:16 (BST),20:34 (BST),20:35 (BST),21:44 (BST),04:07 (BST),01:10 (BST),12-Aug-21,1628755261,12/08/2021,DD-MM-YYYY,12,Thursday,8,August,2021,AD,Anno Domini,03-01-1443,DD-MM-YYYY,3,Al Khamees,الخميس,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:19 (BST),05:47 (BST),13:15 (BST),18:14 (BST),20:32 (BST),20:33 (BST),21:42 (BST),04:09 (BST),01:09 (BST),13-Aug-21,1628841661,13/08/2021,DD-MM-YYYY,13,Friday,8,August,2021,AD,Anno Domini,04-01-1443,DD-MM-YYYY,4,Al Juma'a,الجمعة,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:22 (BST),05:49 (BST),13:15 (BST),18:13 (BST),20:30 (BST),20:31 (BST),21:40 (BST),04:12 (BST),01:09 (BST),14-Aug-21,1628928061,14/08/2021,DD-MM-YYYY,14,Saturday,8,August,2021,AD,Anno Domini,05-01-1443,DD-MM-YYYY,5,Al Sabt,السبت,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:24 (BST),05:50 (BST),13:14 (BST),18:12 (BST),20:28 (BST),20:29 (BST),21:37 (BST),04:14 (BST),01:09 (BST),15-Aug-21,1629014461,15/08/2021,DD-MM-YYYY,15,Sunday,8,August,2021,AD,Anno Domini,06-01-1443,DD-MM-YYYY,6,Al Ahad,الاحد,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:26 (BST),05:52 (BST),13:14 (BST),18:10 (BST),20:26 (BST),20:27 (BST),21:35 (BST),04:16 (BST),01:09 (BST),16-Aug-21,1629100861,16/08/2021,DD-MM-YYYY,16,Monday,8,August,2021,AD,Anno Domini,07-01-1443,DD-MM-YYYY,7,Al Athnayn,الاثنين,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:28 (BST),05:53 (BST),13:14 (BST),18:09 (BST),20:24 (BST),20:25 (BST),21:32 (BST),04:18 (BST),01:09 (BST),17-Aug-21,1629187261,17/08/2021,DD-MM-YYYY,17,Tuesday,8,August,2021,AD,Anno Domini,08-01-1443,DD-MM-YYYY,8,Al Thalaata,الثلاثاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:30 (BST),05:55 (BST),13:14 (BST),18:07 (BST),20:22 (BST),20:23 (BST),21:30 (BST),04:20 (BST),01:08 (BST),18-Aug-21,1629273661,18/08/2021,DD-MM-YYYY,18,Wednesday,8,August,2021,AD,Anno Domini,09-01-1443,DD-MM-YYYY,9,Al Arba'a,الاربعاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:32 (BST),05:57 (BST),13:14 (BST),18:06 (BST),20:20 (BST),20:21 (BST),21:27 (BST),04:22 (BST),01:08 (BST),19-Aug-21,1629360061,19/08/2021,DD-MM-YYYY,19,Thursday,8,August,2021,AD,Anno Domini,10-01-1443,DD-MM-YYYY,10,Al Khamees,الخميس,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,Ashura
04:35 (BST),05:58 (BST),13:13 (BST),18:04 (BST),20:18 (BST),20:19 (BST),21:25 (BST),04:25 (BST),01:08 (BST),20-Aug-21,1629446461,20/08/2021,DD-MM-YYYY,20,Friday,8,August,2021,AD,Anno Domini,11-01-1443,DD-MM-YYYY,11,Al Juma'a,الجمعة,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:37 (BST),06:00 (BST),13:13 (BST),18:03 (BST),20:16 (BST),20:17 (BST),21:22 (BST),04:27 (BST),01:08 (BST),21-Aug-21,1629532861,21/08/2021,DD-MM-YYYY,21,Saturday,8,August,2021,AD,Anno Domini,12-01-1443,DD-MM-YYYY,12,Al Sabt,السبت,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:39 (BST),06:01 (BST),13:13 (BST),18:01 (BST),20:13 (BST),20:15 (BST),21:20 (BST),04:29 (BST),01:07 (BST),22-Aug-21,1629619261,22/08/2021,DD-MM-YYYY,22,Sunday,8,August,2021,AD,Anno Domini,13-01-1443,DD-MM-YYYY,13,Al Ahad,الاحد,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:41 (BST),06:03 (BST),13:13 (BST),18:00 (BST),20:11 (BST),20:12 (BST),21:17 (BST),04:31 (BST),01:07 (BST),23-Aug-21,1629705661,23/08/2021,DD-MM-YYYY,23,Monday,8,August,2021,AD,Anno Domini,14-01-1443,DD-MM-YYYY,14,Al Athnayn,الاثنين,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:43 (BST),06:05 (BST),13:12 (BST),17:58 (BST),20:09 (BST),20:10 (BST),21:15 (BST),04:33 (BST),01:07 (BST),24-Aug-21,1629792061,24/08/2021,DD-MM-YYYY,24,Tuesday,8,August,2021,AD,Anno Domini,15-01-1443,DD-MM-YYYY,15,Al Thalaata,الثلاثاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:45 (BST),06:06 (BST),13:12 (BST),17:57 (BST),20:07 (BST),20:08 (BST),21:12 (BST),04:35 (BST),01:07 (BST),25-Aug-21,1629878461,25/08/2021,DD-MM-YYYY,25,Wednesday,8,August,2021,AD,Anno Domini,16-01-1443,DD-MM-YYYY,16,Al Arba'a,الاربعاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:47 (BST),06:08 (BST),13:12 (BST),17:55 (BST),20:05 (BST),20:06 (BST),21:10 (BST),04:37 (BST),01:06 (BST),26-Aug-21,1629964861,26/08/2021,DD-MM-YYYY,26,Thursday,8,August,2021,AD,Anno Domini,17-01-1443,DD-MM-YYYY,17,Al Khamees,الخميس,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:49 (BST),06:09 (BST),13:11 (BST),17:53 (BST),20:03 (BST),20:04 (BST),21:07 (BST),04:39 (BST),01:06 (BST),27-Aug-21,1630051261,27/08/2021,DD-MM-YYYY,27,Friday,8,August,2021,AD,Anno Domini,18-01-1443,DD-MM-YYYY,18,Al Juma'a,الجمعة,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:51 (BST),06:11 (BST),13:11 (BST),17:52 (BST),20:00 (BST),20:02 (BST),21:05 (BST),04:41 (BST),01:06 (BST),28-Aug-21,1630137661,28/08/2021,DD-MM-YYYY,28,Saturday,8,August,2021,AD,Anno Domini,19-01-1443,DD-MM-YYYY,19,Al Sabt,السبت,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:53 (BST),06:13 (BST),13:11 (BST),17:50 (BST),19:58 (BST),19:59 (BST),21:02 (BST),04:43 (BST),01:05 (BST),29-Aug-21,1630224061,29/08/2021,DD-MM-YYYY,29,Sunday,8,August,2021,AD,Anno Domini,20-01-1443,DD-MM-YYYY,20,Al Ahad,الاحد,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:55 (BST),06:14 (BST),13:11 (BST),17:48 (BST),19:56 (BST),19:57 (BST),21:00 (BST),04:45 (BST),01:05 (BST),30-Aug-21,1630310461,30/08/2021,DD-MM-YYYY,30,Monday,8,August,2021,AD,Anno Domini,21-01-1443,DD-MM-YYYY,21,Al Athnayn,الاثنين,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:57 (BST),06:16 (BST),13:10 (BST),17:47 (BST),19:54 (BST),19:55 (BST),20:57 (BST),04:47 (BST),01:05 (BST),31-Aug-21,1630396861,31/08/2021,DD-MM-YYYY,31,Tuesday,8,August,2021,AD,Anno Domini,22-01-1443,DD-MM-YYYY,22,Al Thalaata,الثلاثاء,1,Muḥarram,مُحَرَّم,1443,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
